"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Strymon melinus","2017-09-23 13:33:27 -0700","","5910 Pebble Creek Dr, Rocklin, CA 95765, USA",38.8012693463,-121.2663213909,"","Gray Hairstreak","https://www.inaturalist.org/observations/8472622","https://static.inaturalist.org/photos/11296448/medium.jpeg?1508463261","rhondarobins",8472622,"Gray Hairstreak","Insecta",50931,"false",2,0,"2017-09-23 1:33:27 PM PDT","2017-09-23","2017-09-23 20:33:27 UTC","Pacific Time (US & Canada)",516,"","","false","gps","gps",NA,676601,"2017-10-20 01:33:58 UTC","2017-10-20 05:54:54 UTC","research","CC-BY-NC",2,"false"
"Strymon melinus","2017-10-19 11:45:01 -0500","","Aransas National Wildlife Refuge, Rockport, TX, US",28.30788,-96.8043366667,"","Gray Hairstreak","https://www.inaturalist.org/observations/8471704","https://static.inaturalist.org/photos/11294953/medium.jpg?1508458903","lori71",8471704,"Gray Hairstreak","Insecta",50931,"false",2,0,"Thu Oct 19 2017 11:45:01 GMT-0500 (CDT)","2017-10-19","2017-10-19 16:45:01 UTC","Central Time (US & Canada)",NA,"","","false","","",NA,654531,"2017-10-20 00:21:38 UTC","2017-10-20 14:31:19 UTC","research","",3,"false"
"Strymon melinus","2017-10-19 12:47:58 -0700","","Point Vicente Park, Rancho Palos Verdes, CA, US",33.7459333333,-118.4073416667,"","Gray Hairstreak","https://www.inaturalist.org/observations/8470565","https://static.inaturalist.org/photos/11292933/medium.jpg?1508451506","mickeyb",8470565,"Gray Hairstreak","Insecta",50931,"false",1,0,"Thu Oct 19 2017 12:47:58 GMT-0700 (PDT)","2017-10-19","2017-10-19 19:47:58 UTC","Pacific Time (US & Canada)",0,"","","false","","",NA,598570,"2017-10-19 22:18:24 UTC","2017-10-19 22:32:14 UTC","research","CC-BY-NC",3,"false"
"Strymon melinus","2017-10-18 12:29:27 -0700","","San Diego National Wildlife Refuge, Chula Vista, CA, US",32.6176,-116.93322,"","Gray Hairstreak","https://www.inaturalist.org/observations/8461956","https://static.inaturalist.org/photos/11279571/medium.jpg?1508385243","patsimpson2000",8461956,"Gray Hairstreak","Insecta",50931,"false",3,0,"Wed Oct 18 2017 12:29:27 GMT-0700 (PDT)","2017-10-18","2017-10-18 19:29:27 UTC","Pacific Time (US & Canada)",NA,"","","false","","",NA,34496,"2017-10-19 03:54:02 UTC","2017-10-19 14:30:54 UTC","research","CC-BY-NC",3,"false"
"Strymon melinus","2017-10-18 11:35:46 -0700","","NV-160, Pahrump, NV 89060, USA",36.4357390233,-116.0754010454,"","Gray Hairstreak","https://www.inaturalist.org/observations/8461304","https://static.inaturalist.org/photos/11278560/medium.jpeg?1508381608","joselopez",8461304,"Gray Hairstreak","Insecta",50931,"false",1,0,"2017-10-18 11:35:46 AM PDT","2017-10-18","2017-10-18 18:35:46 UTC","Pacific Time (US & Canada)",65,"","","false","gps","gps",NA,538113,"2017-10-19 02:53:26 UTC","2017-10-19 03:38:39 UTC","research","",2,"false"
"Strymon melinus","2017-10-14 15:30:00 -0500","Awesome day searching for a needle in the haystack with a bunch of great folks. ","Lewisville, TX, USA",33.0622811478,-96.9629545206,"BKSquaredPhotography, LLELA, Lewisville, Texas","Gray Hairstreak","https://www.inaturalist.org/observations/8461015","https://static.inaturalist.org/photos/11277876/medium.jpg?1508379361","brentano",8461015,"Gray Hairstreak","Insecta",50931,"false",1,0,"2017/10/14 3:30 PM CDT","2017-10-14","2017-10-14 20:30:00 UTC","Central Time (US & Canada)",349,"","","false","","",NA,25863,"2017-10-19 02:30:32 UTC","2017-10-19 03:02:20 UTC","research","CC-BY-NC",NA,"false"
"Strymon melinus","2017-10-16 10:25:00 -0500","","Cd Acuña, Coah., México",29.3232963,-100.9514187,"","Gray Hairstreak","https://www.inaturalist.org/observations/8458668","https://static.inaturalist.org/photos/11273925/medium.jpeg?1508367844","juancarlosgarciamorales1",8458668,"Alas de telaraña gris","Insecta",50931,"false",1,0,"2017/10/16 10:25 AM CDT","2017-10-16","2017-10-16 15:25:00 UTC","Central Time (US & Canada)",6533,"","","false","","",NA,64596,"2017-10-18 23:06:49 UTC","2017-10-19 23:34:04 UTC","research","",NA,"false"
"Strymon melinus","2017-10-16 09:52:00 -0500","","Cd Acuña, Coah., México",29.3232963,-100.9514187,"","Gray Hairstreak","https://www.inaturalist.org/observations/8458649","https://static.inaturalist.org/photos/11273865/medium.jpeg?1508367671","juancarlosgarciamorales1",8458649,"Alas de telaraña gris","Insecta",50931,"false",2,0,"2017/10/16 9:52 AM CDT","2017-10-16","2017-10-16 14:52:00 UTC","Central Time (US & Canada)",6533,"","","false","","",NA,64596,"2017-10-18 23:06:34 UTC","2017-10-20 01:14:27 UTC","research","",NA,"false"
"Strymon melinus","2017-10-16 09:48:00 -0500","","Cd Acuña, Coah., México",29.3232963,-100.9514187,"","Gray Hairstreak","https://www.inaturalist.org/observations/8458648","https://static.inaturalist.org/photos/11273862/medium.jpeg?1508367664","juancarlosgarciamorales1",8458648,"Alas de telaraña gris","Insecta",50931,"false",2,0,"2017/10/16 9:48 AM CDT","2017-10-16","2017-10-16 14:48:00 UTC","Central Time (US & Canada)",6533,"","","false","","",NA,64596,"2017-10-18 23:06:32 UTC","2017-10-20 01:14:04 UTC","research","",NA,"false"
"Strymon melinus","2017-10-18 11:54:19 -0500","","Texas, US",32.8826993754,-97.3651905159,"","Gray Hairstreak","https://www.inaturalist.org/observations/8454281","https://static.inaturalist.org/photos/11266833/medium.jpg?1508346572","w5rir",8454281,"Gray Hairstreak","Insecta",50931,"false",1,0,"Wed Oct 18 2017 11:54:19 GMT-0500 (CDT)","2017-10-18","2017-10-18 16:54:19 UTC","Central Time (US & Canada)",NA,"1000 North Fwy, Fort Worth, TX, US","obscured","true","","",NA,321498,"2017-10-18 17:08:19 UTC","2017-10-18 17:11:36 UTC","research","CC-BY-NC",3,"false"
